"RSPDNUM","Sample","version_weather_v1","version_CDR","demog_age_year","AgeRecode","demog_state","Region","weather_pastsummer_v1","gw_belief","believer_confidence","believer_cause","believer_cause_followup","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_hurricane","believer_factor_mildwint","believer_factor_droughts","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","govt_fed","govt_state","govt_local","state_cleancoal","state_vehicles_v1","state_fftax","state_nuclear","state_captrade","state_rps_v2","natgas_mystate","govt_nofedaction","state_impactsfelt","state_rps_neighbr","cdr_knowledge_info","cdr_knowledge","cdr_support","gw_threat","coalfpp_support_phaseout_v2","subsidy_support","carbontax_support_v3","state_gastax_v2","state_ee_v2","gw_geoengr","gw_adapt","fed_moralobligation","intl_economicimpact","worldviews_freetrade","worldviews_immigration","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_polparty","demog_polviews","worldviews_trump","demog_income","demog_gender","Date","Weight"
1,"C","B","C",9999,4,"NJ",1,3,1,1,1,,1,1,"OZONE LAYER",10,2,4,2,2,1,,,,1,2,3,4,1,1,1,4,1,1,1,1,4,999,999,999,5,1,1,1,2,1,98,4,1,4,1,4,6,1,6,,5,1,5,4,6,1,"10/4/2017 5:25:51",0.18
2,"C","A","C",9999,3,"NC",2,3,2,,,,,,,,,,,,,3,"JUST NORMA WEATHER",1,1,1,2,2,2,3,3,2,1,3,1,3,2,999,999,999,2,4,2,5,5,2,3,3,1,2,4,98,3,1,2,,3,2,3,2,6,1,"10/4/2017 5:36:53",0.415
3,"C","B","C",9999,1,"TX",2,2,1,1,3,1,1,1,"ICE CAPS ARE MELTING",1,2,1,1,3,1,,,,2,2,2,4,2,2,4,3,1,3,1,2,1,999,999,999,4,4,1,1,2,2,1,4,1,4,2,3,2,5,98,,1,,,4,3,1,"10/4/2017 5:37:12",1.71
4,"C","A","C",9999,2,"VA",2,5,2,,,,,,,,,,,,,3,"CYCLES",2,3,3,3,98,4,4,3,3,1,3,3,4,1,999,999,999,1,5,1,5,5,2,3,2,2,3,4,1,1,1,6,,3,2,2,1,4,1,"10/4/2017 5:38:35",1.03
5,"C","B","C",9999,3,"MA",1,5,1,2,2,,3,2,"WARMER",2,98,3,3,3,3,,,,3,3,3,98,4,4,1,98,4,1,4,4,1,999,999,999,2,1,4,5,5,5,98,1,4,1,2,1,1,1,1,2,2,2,2,1,6,1,"10/4/2017 5:42:27",0.795
6,"C","A","C",9999,2,"MD",2,2,98,,,,,,,,,,,,,,,,3,2,1,1,1,4,4,2,1,1,1,4,3,999,999,999,2,4,2,1,5,1,4,4,1,4,4,4,4,9,1,2,2,4,1,4,3,1,"10/4/2017 5:47:06",3.21
7,"C","B","C",9999,3,"VA",2,5,98,,,,,,,,,,,,,,,,3,3,3,2,3,4,4,3,4,98,2,3,2,999,999,999,2,5,5,5,5,2,2,3,3,3,2,3,1,,,,4,4,1,2,,1,"10/4/2017 5:51:04",0.455
8,"C","A","C",9999,4,"TX",2,5,2,,,,,,,,,,,,,2,"ITS PRETTY REGULAR",9,2,3,2,1,1,4,1,1,1,2,4,4,1,999,999,999,2,5,2,5,5,1,1,4,1,1,4,1,2,1,2,,3,2,1,1,6,2,"10/4/2017 5:51:53",0.75
9,"C","B","C",9999,1,"IN",3,1,1,1,1,,1,1,"DATA FROM LAST 200 YRS THAT SHOW THAT THE TEMP IS INCREASING",4,1,1,1,4,2,,,,1,2,2,,2,2,2,4,1,4,1,2,1,999,999,999,5,2,1,3,1,3,3,4,1,4,1,98,3,1,7,,4,4,4,4,4,2,"10/4/2017 5:56:05",1.13
10,"C","B","C",9999,1,"FL",2,1,1,1,1,,1,1,"HABITATS ARE BEING DESTROYED",7,1,2,1,4,3,,,,1,2,2,1,4,1,1,1,1,1,2,1,98,999,999,999,4,1,1,1,5,1,98,4,1,98,1,4,4,9,1,1,4,1,4,4,3,1,"10/4/2017 5:58:21",2.6
11,"C","A","C",9999,3,"WA",4,2,1,1,3,1,2,2,"WARMER THAN USUAL",2,1,1,1,2,3,,,,2,2,3,1,2,3,4,98,1,4,1,1,1,999,999,999,5,2,1,5,5,1,1,4,1,1,1,1,3,1,1,1,3,98,2,1,,2,"10/4/2017 6:04:22",0.925
12,"C","B","C",9999,1,"MD",2,2,98,,,,,,,,,,,,,,,,2,2,3,2,2,3,2,1,3,2,3,3,2,999,999,999,3,5,2,4,2,2,98,2,3,2,1,4,4,10,98,,3,4,2,3,98,1,"10/4/2017 6:05:57",1.01
13,"C","A","C",9999,3,"FL",2,3,98,,,,,,,,,,,,,,,,98,98,98,3,2,4,2,4,2,2,2,2,3,999,999,999,2,3,2,2,4,2,1,1,1,1,2,2,1,1,6,,1,2,3,2,1,2,"10/4/2017 6:06:23",1.005
14,"C","B","C",9999,1,"PA",1,3,2,,,,,,,,,,,,,4,"ITS FROM INDUSTRY",9,1,1,1,98,1,98,2,3,1,2,2,2,4,999,999,999,5,4,1,3,5,4,98,3,4,4,2,4,4,1,,,5,1,4,4,,2,"10/4/2017 6:14:01",1.2
15,"C","A","C",9999,2,"CA",4,5,2,,,,,,,,,,,,,2,"RESEARCH",5,2,2,3,98,4,4,2,4,1,1,4,4,98,999,999,999,2,5,1,2,3,5,1,4,98,98,1,1,6,1,6,,3,3,2,2,6,1,"10/4/2017 6:23:19",0.93
16,"C","B","C",9999,3,"NY",1,3,1,1,3,1,1,1,"TEMPERATURE CHANGES",2,1,1,1,1,2,,,,1,2,2,98,2,2,98,2,1,3,1,98,3,999,999,999,4,98,2,4,5,4,2,4,1,98,3,3,3,1,2,,4,4,3,3,3,2,"10/4/2017 6:26:22",0.825
